rsi,cycle,band,atr,obv,accdist,label
61.64,0.0496,376.7322,0.5859,263400,453236.16,false
60.18,0.0017,102.9765,0.233,-2265646,6036413.5,false
61.18,0.0989,205.5528,0.3328,1212163,1437028.2,false
62.27,0.0848,376.8183,0.5569,381475,504748.56,false
52.58,0.0679,103.9304,0.1989,-454185,7551530,false
56.3,0.1549,103.6168,0.2572,-213875,6792437,false
56.46,0.1648,378.874,0.5355,138081,250459.48,false
57.25,0.1171,103.6264,0.2476,661629,7187411,false
50.08,0.2655,377.6972,0.3885,98072,203208.34,false
45.81,0.0882,102.5812,0.2678,-3555117,2914740.5,false
45.52,0.2376,375.4108,0.6344,-209362,75651.09,false
48.79,0.135,102.5907,0.2621,-2496778,3349352.5,false
47.08,0.1544,203.6859,0.4259,-694490,140633.03,false
49.99,0.0949,102.6318,0.2085,-2557377,1954586.6,false
46.22,0.1942,203.7712,0.3647,-750002,-25580.23,false
46.87,0.404,374.313,0.5032,-321829,-8790.02,false
52.46,0.1663,102.6332,0.2091,-1897819,2108081.8,false
55.28,0.1544,102.6324,0.2084,-1078156,2601186.2,false
48.39,0.2263,203.7623,0.3675,-664366,98914.99,false
53.53,0.4071,374.3105,0.5075,-279811,3823.96,false
57.51,0.1012,102.624,0.2063,-1112233,2946349.8,false
56.34,0.0611,102.6502,0.1843,-1461057,2528083.2,false
58.24,0.0899,102.6395,0.1893,-778793,2877282,false
43.31,0.0416,202.6399,0.2575,-456061,-306234.4,true
49.45,0.015,102.613,0.1722,-701335,1040123.2,true
58.18,0.2354,202.6296,0.2953,-150295,-48322.38,false
50.05,0.2329,373.7887,0.4653,-67928,-6474.46,true
58.09,0.1435,102.6105,0.1854,426662,1716473.4,true
61.28,0.417,202.5999,0.2888,-251423,-159323.88,false
53.94,0.4386,373.7815,0.4616,-73892,-17474.08,true
60.8,0.2255,102.5916,0.1829,-191488,846460.1,false
64.56,0.3467,202.555,0.3002,-255053,-119768.95,false
57.85,0.4048,373.7664,0.4784,-23126,1638.68,false
