rsi,cycle,band,atr,obv,accdist,label
33.5,0.0279,357.1372,0.2439,-238241,35112.54,false
48.05,0.0045,95.0765,0.1095,-638888,1056592.4,true
32.98,-0.0388,357.1398,0.2077,-236561,30498.65,false
49.33,0.0163,190.3067,0.144,-306841,59356.14,true
43.5,-0.0134,357.1618,0.2284,-206316,33137.05,false
41.43,0.0243,190.2798,0.1484,-373076,11575.55,true
33.35,0.0133,357.089,0.2455,-227715,9941,false
37,-0.0519,357.0107,0.2459,-216460,32460.75,false
52.46,-0.0736,95.102,0.122,-548302,985644,false
53.46,-0.0934,95.151,0.1199,-50459,1287687.2,false
45.8,-0.0374,356.9522,0.2228,-277767,16198.72,false
48.14,-0.0384,95.21,0.113,-945522,1044163,true
45.66,-0.0325,95.2324,0.113,-819938,1208617,true
50.14,-0.0527,190.2658,0.1462,-22581,108396.74,false
41.4,-0.0899,356.945,0.2124,-265313,24215.17,false
45.67,-0.0189,95.2702,0.1058,-187025,1692876,true
42.29,-0.056,356.9394,0.2072,-266515,19304.56,false
43.26,-0.0828,357.1025,0.2486,-217933,29816.41,false
54.52,-0.0623,190.5737,0.1395,21960,70505.78,false
54.97,-0.0504,95.2983,0.1199,768069,2119782.5,false
42.39,-0.045,357.0277,0.2401,-240083,31206.55,false
48.23,-0.0416,190.582,0.1506,7434,40010.41,false
38.84,-0.0114,356.9844,0.2511,-279864,8793.28,false
47.47,-0.0374,95.3086,0.1252,552308,2561142.5,false
44.8,-0.0783,190.5738,0.1513,-11054,18746.95,false
34.15,-0.0464,356.8993,0.2554,-289913,15236.3,false
43.73,-0.0655,95.3055,0.1292,-217685,2624960,false
31.17,-0.0933,356.7916,0.2578,-276626,29437.74,false
38.99,-0.0768,95.2915,0.132,-212334,2663003.5,true
39.58,-0.0413,190.5361,0.1525,88419,59137.93,false
28.66,-0.0959,356.6694,0.2607,-221168,44669.68,false
38.76,-0.0611,95.2827,0.1284,-63250,2653986.5,true
42.25,-0.0375,190.518,0.1454,74583,58638.72,false
30.74,-0.0439,356.5801,0.2464,-209981,44235.55,false
30.21,0.0344,356.4981,0.2536,-234477,31987.33,false
37.41,0.0051,190.4659,0.1418,-54141,-9711.66,true
27.76,0.055,356.3977,0.2462,-242647,30545.52,false
34.4,-0.0193,190.4034,0.1477,-64248,-61737.64,true
24.22,-0.001,356.2615,0.2551,-244085,19768.05,false
35.44,-0.0114,95.2444,0.1342,-655347,2087307.6,true
31.74,0.0543,356.0879,0.2524,-188994,34456.6,false
40.1,-0.0055,95.169,0.1307,398221,2424829.5,true
26.79,0.0093,355.9472,0.2385,-209388,5024.26,true
41.22,0.0254,95.1117,0.1307,250878,2270572.5,true
22.93,-0.0468,355.8272,0.2464,-224750,-2162.71,true
40.47,-0.0585,190.2748,0.1573,68653,-26294.31,true
21.81,-0.0778,355.7311,0.2493,-218934,-11741.89,true
37.5,0.0119,95.0637,0.1311,-733737,1830405.8,true
36.12,-0.0648,190.2294,0.1527,63512,-24652.76,true
20.14,-0.0699,355.6384,0.2442,-226855,-15494.69,true
35.13,-0.0592,190.2022,0.1513,-8357,-13574.08,true
51.54,-0.0922,190.1614,0.146,13234,17116.15,true
60.24,-0.0612,95.0724,0.1328,3003376,1876405.9,false
54.43,-0.0328,95.1791,0.1321,1561795,1044574.5,true
48.52,-0.04,95.2197,0.1195,1481485,770567.1,true
